c11;;;;;;;;;;;;;;;;;;;
;1;c21;;;;;;;;;;;;;;;;;
;;1;c31;;;;;;;;;;;;;;;;
;;;1;c61;;;;;;;;;;;;;;;
;;;;1;c81;;;;;;;;;;;;;;
;;;;1;c82;;;;;;;;;;;;;;
;;;;;1/.1;c72;;;;;;;;;;;;;
;;;;;;1;c91;;;;;;;;;;;;
;;;;;;1;c92;;;;;;;;;;;;
;;;;;;;1/.1;c93;;;;;;;;;;;
;;;;;;;1/.1;c84;;;;;;;;;;;
;;;;;;;;1/.1;c85;;;;;;;;;;
;;;;;;;;;1;c63;;;;;;;;;
;;;;;;;;;;1;c64;;;;;;;;
;;;;;;;;;;;1;c65;;;;;;;
;;;;;;;;;;;1;c66;;;;;;;
;;;;;;;;;;;;1/.1;c67;;;;;;
;;;;;;;;;;;;;1;c68;;;;;
;;;;;;;;;;;;;;1;c74;;;;
;;;;;;;;;;;;;;1;c75;;;;
;;;;;;;;;;;;;;;1/.1;c53;;;
;;;;;;;;;;;;;;;;1;c42;;
;;;;;;;;;;;;;;;;;1;c54;
;;;;;;;;;;;;;;;;;1;c55;
;;;;;;;;;;;;;;;;;;1/.1;c56
;;;;;;;;;;;;;;;;;;1/.1;c57
;;;;;;;;;;;;;;;;;;1/.1;c45
;1;;;;;;;;;;;;;;;;;;1/.1/.1
